Codi_Districte,Nom_Districte,Any,prestamos_presenciales,poblacion,pct_mayores,pct_joven,pct_extranjera,renta_per_capita,prestamos_per_capita,indice_base100,fondo_documental,oferta_per_capita,rotacion_fondo,ipc,renta_real
4,Les Corts,2012,189963,82357,23.0,28.4,12.4,,2.31,88.7,135634,1.65,1.4,,
4,Les Corts,2013,160912,81711,23.6,28.0,11.9,,1.97,75.1,135283,1.66,1.19,,
4,Les Corts,2014,160857,81196,24.3,27.6,11.5,,1.98,75.1,123380,1.52,1.3,,
4,Les Corts,2015,119982,81529,24.8,27.6,11.0,26599.0,1.47,56.0,122079,1.5,0.98,95.9,27736.0
4,Les Corts,2016,138720,81708,25.2,27.5,11.2,28060.0,1.7,64.7,119609,1.46,1.16,95.7,29321.0
4,Les Corts,2017,110805,82201,25.3,27.6,12.1,28192.0,1.35,51.7,118096,1.44,0.94,97.7,28856.0
4,Les Corts,2018,178737,82182,25.7,27.8,12.6,28554.0,2.17,83.4,119851,1.46,1.49,99.3,28755.0
4,Les Corts,2019,193085,82591,25.8,27.9,13.6,30115.0,2.34,90.1,120156,1.45,1.61,100.0,30115.0
4,Les Corts,2020,95374,82635,26.1,27.9,14.5,27997.0,1.15,44.5,120655,1.46,0.79,99.7,28081.0
4,Les Corts,2021,175021,81576,26.5,27.7,14.8,28220.0,2.15,81.7,113940,1.4,1.54,102.8,27451.0
4,Les Corts,2022,197602,81074,26.7,27.6,14.7,29497.0,2.44,92.2,112738,1.39,1.75,111.4,26478.0
4,Les Corts,2023,184683,82154,26.6,28.0,16.5,,2.25,86.2,109302,1.33,1.69,,
4,Les Corts,2024,207192,83551,26.4,28.4,18.1,,2.48,96.7,110123,1.32,1.88,,
5,Sarrià-Sant Gervasi,2010,50040,144485,20.7,31.8,12.1,,0.35,32.4,81979,0.57,0.61,,
5,Sarrià-Sant Gervasi,2011,154322,144355,20.9,31.8,11.5,,1.07,100.0,80995,0.56,1.91,,
5,Sarrià-Sant Gervasi,2012,136558,145269,21.1,31.7,11.4,,0.94,88.5,87586,0.6,1.56,,
5,Sarrià-Sant Gervasi,2013,110240,145515,21.2,31.7,11.4,,0.76,71.4,89005,0.61,1.24,,
5,Sarrià-Sant Gervasi,2014,177943,145773,21.4,31.9,11.4,,1.22,115.3,131968,0.91,1.35,,
5,Sarrià-Sant Gervasi,2015,229752,146848,21.5,32.0,11.2,30223.0,1.56,148.9,136886,0.93,1.68,95.9,31515.0
5,Sarrià-Sant Gervasi,2016,206943,148172,21.5,32.2,11.2,32631.0,1.4,134.1,140299,0.95,1.48,95.7,34097.0
5,Sarrià-Sant Gervasi,2017,193604,149734,21.3,32.6,12.1,33831.0,1.29,125.5,142329,0.95,1.36,97.7,34627.0
5,Sarrià-Sant Gervasi,2018,184873,149837,21.4,32.9,12.4,34567.0,1.23,119.8,144386,0.96,1.28,99.3,34811.0
5,Sarrià-Sant Gervasi,2019,176180,150446,21.4,32.9,13.4,36880.0,1.17,114.2,140957,0.94,1.25,100.0,36880.0
5,Sarrià-Sant Gervasi,2020,87444,151157,21.4,33.1,14.2,33405.0,0.58,56.7,142152,0.94,0.62,99.7,33506.0
5,Sarrià-Sant Gervasi,2021,149436,149201,21.5,32.9,14.6,32955.0,1.0,96.8,144240,0.97,1.04,102.8,32057.0
5,Sarrià-Sant Gervasi,2022,159075,148201,21.8,32.7,14.8,35076.0,1.07,103.1,140424,0.95,1.13,111.4,31487.0
5,Sarrià-Sant Gervasi,2023,172876,149804,21.7,32.8,16.4,,1.15,112.0,139236,0.93,1.24,,
5,Sarrià-Sant Gervasi,2024,180361,151890,21.6,32.8,17.8,,1.19,116.9,132573,0.87,1.36,,
6,Gràcia,2010,177333,122978,20.6,28.0,16.5,,1.44,32.0,150514,1.22,1.18,,
6,Gràcia,2011,554443,121483,20.9,27.6,15.7,,4.56,100.0,190342,1.57,2.91,,
6,Gràcia,2012,537471,121831,21.0,27.3,15.8,,4.41,96.9,184594,1.52,2.91,,
6,Gràcia,2013,473691,120997,21.3,26.8,15.6,,3.91,85.4,188197,1.56,2.52,,
6,Gràcia,2014,505427,120283,21.5,26.5,15.4,,4.2,91.2,186394,1.55,2.71,,
6,Gràcia,2015,470755,120445,21.7,26.5,15.0,22169.0,3.91,84.9,191004,1.59,2.46,95.9,23117.0
6,Gràcia,2016,434571,121088,21.7,26.6,15.3,22863.0,3.59,78.4,191238,1.58,2.27,95.7,23890.0
6,Gràcia,2017,401028,121772,21.6,26.9,16.3,23048.0,3.29,72.3,195620,1.61,2.05,97.7,23591.0
6,Gràcia,2018,398393,121789,21.6,27.2,16.9,23410.0,3.27,71.9,198347,1.63,2.01,99.3,23575.0
6,Gràcia,2019,393742,123060,21.3,27.6,18.4,24683.0,3.2,71.0,199796,1.62,1.97,100.0,24683.0
6,Gràcia,2020,185066,123852,21.4,27.8,19.7,23096.0,1.49,33.4,198950,1.61,0.93,99.7,23165.0
6,Gràcia,2021,326235,123276,21.3,27.6,20.5,24212.0,2.65,58.8,196232,1.59,1.66,102.8,23553.0
6,Gràcia,2022,366896,121915,21.5,27.4,21.0,25269.0,3.01,66.2,195674,1.61,1.88,111.4,22683.0
6,Gràcia,2023,385144,122928,21.3,27.8,22.4,,3.13,69.5,198661,1.62,1.94,,
6,Gràcia,2024,398764,125787,21.0,27.9,24.1,,3.17,71.9,199257,1.58,2.0,,
7,Horta-Guinardó,2010,181576,170757,22.3,27.8,13.5,,1.06,35.7,248357,1.45,0.73,,
7,Horta-Guinardó,2011,508883,169764,22.7,27.4,13.2,,3.0,100.0,250149,1.47,2.03,,
7,Horta-Guinardó,2012,475338,168984,23.1,27.0,13.0,,2.81,93.4,273213,1.62,1.74,,
7,Horta-Guinardó,2013,392632,167800,23.4,26.7,12.9,,2.34,77.2,278712,1.66,1.41,,
